iter	RMSE
0	15.10607702
1	14.72777881
2	14.33368959
3	13.9745037
4	13.60738683
5	13.30488744
6	12.98950523
7	12.67651542
8	12.37651913
9	12.07366062
10	11.78757579
11	11.53575442
12	11.30911744
13	11.09149031
14	10.84554429
15	10.61163376
16	10.38533601
17	10.16358641
18	9.949385024
19	9.749884619
20	9.57762579
21	9.406591262
22	9.223427274
23	9.053320232
24	8.886654914
25	8.754343344
26	8.599886557
27	8.460619396
28	8.337873397
29	8.210655773
30	8.110331556
31	7.98354214
32	7.88456077
33	7.767649845
34	7.655501369
35	7.555484574
36	7.452090352
37	7.381055124
38	7.292879815
39	7.211306004
40	7.1417073
41	7.060326214
42	6.979795963
43	6.918593303
44	6.854637946
45	6.791918858
46	6.726157816
47	6.673742623
48	6.613400746
49	6.563344833
50	6.514580459
51	6.457933855
52	6.408112969
53	6.356095494
54	6.312453312
55	6.27023336
56	6.231286477
57	6.195121844
58	6.15871743
59	6.123252457
60	6.085077102
61	6.048087503
62	6.010905537
63	5.974229322
64	5.944132895
65	5.915684055
66	5.885565548
67	5.855043636
68	5.834779971
69	5.805022448
70	5.782887663
71	5.756904192
72	5.73539902
73	5.713998132
74	5.695553477
75	5.679566079
76	5.662214121
77	5.642194713
78	5.625514395
79	5.605135765
80	5.590625524
81	5.575836125
82	5.561199656
83	5.543355085
84	5.52277772
85	5.508510905
86	5.496524512
87	5.483933835
88	5.470516371
89	5.458530099
90	5.445436748
91	5.433291539
92	5.4216953
93	5.4122849
94	5.401001064
95	5.392990578
96	5.385530353
97	5.377611424
98	5.371635207
99	5.362852321
100	5.350210192
101	5.340890373
102	5.330907031
103	5.321005235
104	5.31229149
105	5.305896981
106	5.294762819
107	5.288185823
108	5.282941124
109	5.275844729
110	5.264919258
111	5.255760815
112	5.249071533
113	5.245028916
114	5.239926182
115	5.231853089
116	5.222827453
117	5.215898778
118	5.209651546
119	5.205127369
120	5.19990505
121	5.19373195
122	5.188804085
123	5.181060304
124	5.177934962
125	5.170589763
126	5.16718961
127	5.160062608
128	5.15624637
129	5.150926645
130	5.149467286
131	5.143730629
132	5.140926482
133	5.132368876
134	5.124148908
135	5.122149842
136	5.117018274
137	5.112335187
138	5.109247819
139	5.103270463
140	5.096695238
141	5.090215102
142	5.086335233
143	5.079448424
144	5.07184988
145	5.068245628
146	5.063251802
147	5.060594919
148	5.057062532
149	5.050906769
150	5.04347851
151	5.037360231
152	5.031161022
153	5.026791914
154	5.021884551
155	5.018632933
156	5.011949009
157	5.008254351
158	5.005136574
159	4.999409157
160	4.996186118
161	4.99332735
162	4.988487504
163	4.98742911
164	4.985324714
165	4.979825063
166	4.978366046
167	4.975155832
168	4.974890192
169	4.972456584
170	4.969105068
171	4.964302179
172	4.962070866
173	4.958535903
174	4.955460178
175	4.951841231
176	4.946834539
177	4.942904862
178	4.938952655
179	4.93471675
180	4.931691776
181	4.925699757
182	4.923461583
183	4.918499655
184	4.9157597
185	4.912119371
186	4.90846998
187	4.903672503
188	4.899732898
189	4.895927634
190	4.892137394
191	4.890361947
192	4.885523892
193	4.882667891
194	4.879783917
195	4.874352809
196	4.869679368
197	4.868004614
198	4.865083578
199	4.863563794
200	4.859896237
201	4.855274804
202	4.851888882
203	4.848669754
204	4.842150548
205	4.838273586
206	4.834500464
207	4.832153828
208	4.825491137
209	4.822765766
210	4.820207279
211	4.815808329
212	4.81420108
213	4.809962156
214	4.806073609
215	4.802985084
216	4.799069484
217	4.795557109
218	4.794614182
219	4.790947158
220	4.78703439
221	4.783756231
222	4.779397629
223	4.774720679
224	4.77262424
225	4.769725472
226	4.766182597
227	4.764666086
228	4.759907001
229	4.757463138
230	4.751830739
231	4.7468887
232	4.742351307
233	4.740132484
234	4.738881977
235	4.736615719
236	4.733294529
237	4.731130154
238	4.729597064
239	4.728536431
240	4.724388365
241	4.722366529
242	4.720280618
243	4.716804794
244	4.714257879
245	4.709696607
246	4.7052209
247	4.702097467
248	4.699849226
249	4.696436833
250	4.690102034
251	4.688180557
252	4.685440174
253	4.682719911
254	4.68167532
255	4.677357412
256	4.673353467
257	4.669277118
258	4.66345036
259	4.658621349
260	4.655434993
261	4.651818973
262	4.649587515
263	4.64572555
264	4.640821699
265	4.637034927
266	4.632374015
267	4.63037388
268	4.623417464
269	4.621504506
270	4.615855665
271	4.61227017
272	4.60762937
273	4.604095193
274	4.60017586
275	4.592751631
276	4.587811514
277	4.582773469
278	4.580514044
279	4.575569394
280	4.570944018
281	4.567223245
282	4.563844777
283	4.561590727
284	4.558185339
285	4.554864525
286	4.553007653
287	4.54985305
288	4.546509253
289	4.541222878
290	4.539631532
291	4.536903142
292	4.536091443
293	4.530606211
294	4.529704444
295	4.525795538
296	4.522444499
297	4.519081088
298	4.514591871
299	4.509133556
300	4.506695614
301	4.503594443
302	4.498390448
303	4.492571157
304	4.487325353
305	4.484643591
306	4.482249455
307	4.479410177
308	4.474984043
309	4.471130493
310	4.465293198
311	4.462443229
312	4.459234251
313	4.457208505
314	4.455427691
315	4.452618035
316	4.448923429
317	4.44403294
318	4.438898993
319	4.436940001
320	4.430082356
321	4.427176616
322	4.423105174
323	4.420469108
324	4.418990242
325	4.414189778
326	4.409502258
327	4.40641158
328	4.401513796
329	4.400421185
330	4.400061325
331	4.396210309
332	4.391350504
333	4.386944817
334	4.385478484
335	4.383266634
336	4.382389473
337	4.377453789
338	4.371779999
339	4.37052989
340	4.366920363
341	4.362740445
342	4.359807107
343	4.35819241
344	4.355399585
345	4.349342307
346	4.345400092
347	4.344652595
348	4.341004348
349	4.338810267
350	4.336010055
351	4.334497829
352	4.332942042
353	4.330622515
354	4.328502244
355	4.325700169
356	4.32275782
357	4.319545536
358	4.31419813
359	4.309865477
360	4.307872366
361	4.306765632
362	4.301282396
363	4.296703255
364	4.291046286
365	4.286564988
366	4.282313486
367	4.279189636
368	4.275572552
369	4.27290862
370	4.268972494
371	4.26561164
372	4.263318348
373	4.260308036
374	4.255894026
375	4.252411625
376	4.246782476
377	4.244914614
378	4.243325394
379	4.240819273
380	4.239138248
381	4.236996624
382	4.233693326
383	4.228964938
384	4.224372213
385	4.219504639
386	4.214903628
387	4.213856017
388	4.2095424
389	4.206791277
390	4.203939964
391	4.199684986
392	4.196337207
393	4.19327968
394	4.190243533
395	4.185002598
396	4.18178904
397	4.179036245
398	4.176460624
399	4.172080015
400	4.171381089
401	4.167404626
402	4.164622889
403	4.162021686
404	4.157193823
405	4.153283118
406	4.149854296
407	4.145857938
408	4.143322003
409	4.141304928
410	4.14055833
411	4.139556211
412	4.137179785
413	4.134142214
414	4.132981248
415	4.130751912
416	4.128306627
417	4.123196197
418	4.121978914
419	4.118701785
420	4.113990214
421	4.111164665
422	4.109405486
423	4.104003525
424	4.100160976
425	4.096876238
426	4.095665997
427	4.09223004
428	4.087771165
429	4.08538544
430	4.080602099
431	4.075644731
432	4.074130543
433	4.070246505
434	4.067668783
435	4.064489533
436	4.061416469
437	4.058374136
438	4.054204657
439	4.049276415
440	4.047197853
441	4.044231105
442	4.042775935
443	4.040654007
444	4.035779523
445	4.033591895
446	4.032182514
447	4.030661729
448	4.027906545
449	4.024376187
450	4.021326811
451	4.018295993
452	4.016009956
453	4.011419347
454	4.007697109
455	4.003619513
456	3.998788783
457	3.998287106
458	3.99282341
459	3.991132135
460	3.987676038
461	3.985498174
462	3.983054575
463	3.979214451
464	3.977780699
465	3.974156234
466	3.973298337
467	3.969272596
468	3.965925347
469	3.961829915
470	3.960474861
471	3.956275246
472	3.952258235
473	3.949235292
474	3.944596762
475	3.942664343
476	3.940100263
477	3.938259934
478	3.9356996
479	3.933776636
480	3.927713662
481	3.925786742
482	3.925391749
483	3.921777485
484	3.920447572
485	3.919749208
486	3.918235426
487	3.916321913
488	3.915876149
489	3.912594199
490	3.910145851
491	3.908381776
492	3.906616267
493	3.902301183
494	3.899363252
495	3.897868941
496	3.894835389
497	3.894499803
498	3.893205539
499	3.890726721
500	3.889620138
501	3.887000818
502	3.885335164
503	3.88166751
504	3.881294867
505	3.879555593
506	3.875483348
507	3.872406334
508	3.869067566
509	3.865537065
510	3.863471841
511	3.859933584
512	3.856237593
513	3.854804866
514	3.853900985
515	3.853087755
516	3.849522957
517	3.846151762
518	3.844377289
519	3.84117233
520	3.836974371
521	3.833843466
522	3.831383531
523	3.827104056
524	3.825295209
525	3.823691692
526	3.820615822
527	3.817950704
528	3.81664075
529	3.815487987
530	3.81354044
531	3.813086336
532	3.809854266
533	3.806684825
534	3.805335597
535	3.80458699
536	3.802673915
537	3.800943876
538	3.798766647
539	3.794568378
540	3.790988015
541	3.788763233
542	3.785340603
543	3.782398026
544	3.777892158
545	3.777525865
546	3.774483266
547	3.770356431
548	3.766949937
549	3.76434516
550	3.76220974
